,precision,recall,f1-score,support
A,0.9801652892561984,0.9883333333333333,0.9842323651452282,600.0
B,0.9900990099009901,1.0,0.9950248756218906,600.0
C,0.9983277591973244,0.995,0.996661101836394,600.0
D,0.9847972972972973,0.9716666666666667,0.9781879194630873,600.0
E,0.9041095890410958,0.99,0.9451073985680191,600.0
F,0.9933774834437086,1.0,0.9966777408637874,600.0
G,0.9652892561983472,0.9733333333333334,0.9692946058091286,600.0
H,0.9575163398692811,0.9766666666666667,0.966996699669967,600.0
I,0.9816700610997964,0.8033333333333333,0.8835930339138405,600.0
J,0.9095394736842105,0.9216666666666666,0.9155629139072847,600.0
K,0.9884105960264901,0.995,0.9916943521594684,600.0
L,0.9950248756218906,1.0,0.9975062344139651,600.0
M,0.9313572542901716,0.995,0.9621273166800967,600.0
N,0.9654576856649395,0.9316666666666666,0.9482612383375743,600.0
O,0.9726495726495726,0.9483333333333334,0.960337552742616,600.0
P,0.9257503949447078,0.9766666666666667,0.9505271695052717,600.0
Q,0.9929203539823008,0.935,0.9630901287553648,600.0
R,0.8116531165311653,0.9983333333333333,0.8953662182361734,600.0
S,0.9137323943661971,0.865,0.8886986301369864,600.0
T,0.992831541218638,0.9233333333333333,0.9568221070811744,600.0
U,0.8665644171779141,0.9416666666666667,0.902555910543131,600.0
V,0.9583333333333334,0.92,0.9387755102040817,600.0
W,0.9564516129032258,0.9883333333333333,0.9721311475409836,600.0
X,0.9183673469387755,0.675,0.7780979827089337,600.0
Y,0.9451612903225807,0.9766666666666667,0.9606557377049181,600.0
Z,0.9602649006622517,0.9666666666666667,0.9634551495016611,600.0
del,0.9771241830065359,0.9966666666666667,0.9867986798679867,600.0
nothing,0.9755700325732899,0.9983333333333333,0.9868204283360791,600.0
space,0.9835796387520526,0.9983333333333333,0.9909015715467329,600.0
accuracy,0.9534482758620689,0.9534482758620689,0.9534482758620689,0.9534482758620689
macro avg,0.9550377965501476,0.9534482758620689,0.9526193696828217,17400.0
weighted avg,0.9550377965501475,0.9534482758620689,0.9526193696828218,17400.0
